"id","is_alive","random_generator_seed","radius","type","direction:0","direction:1","Points:0","Points:1","Points:2"
89,1,1.6263e+09,0,0,0.27125,0.069445,23.351,12.165,0
90,1,1.6263e+09,0,0,0.27506,0.05239,27.828,44.37,0
91,1,1.6263e+09,0,0,0.19546,0.20049,21.715,44.807,0
92,1,1.6263e+09,0,0,-0.15349,-0.23418,19.231,27.865,0
93,1,1.6263e+09,0,0,0.27382,0.058497,12.803,12.809,0
94,1,1.6263e+09,0,0,0.2363,0.1502,22.044,43.638,0
95,1,1.6263e+09,0,0,0.27969,0.013273,19.818,14.166,0
96,1,1.6263e+09,0,0,0.17376,-0.21956,16.904,28.149,0
97,1,1.6263e+09,0,0,0.2792,0.021151,15.557,14.311,0
98,1,1.6263e+09,0,0,-0.084896,-0.26682,18.022,26.435,0
99,1,1.6263e+09,0,0,-0.27477,0.053858,16.959,15.533,0
100,1,1.6263e+09,0,0,0.053284,0.27488,17.045,10.898,0
101,1,1.6263e+09,0,0,0.2629,-0.096357,15.883,15.278,0
102,1,1.6263e+09,0,0,0.19928,0.19669,15.984,11.87,0
103,1,1.6263e+09,0,0,0.092079,-0.26443,18.398,45.607,0
104,1,1.6263e+09,0,0,0.27998,0.0033525,17.287,45.475,0
105,1,1.6263e+09,0,0,-0.14871,-0.23725,18.087,10.674,0
106,1,1.6263e+09,0,0,0.035987,0.27768,19.423,43.128,0
107,1,1.6263e+09,0,0,0.27716,-0.039753,17.854,46.791,0
108,1,1.6263e+09,0,0,-0.20004,-0.19592,18.092,12.58,0
109,1,1.6263e+09,0,0,0.25851,0.10759,18.254,30.853,0
110,1,1.6263e+09,0,0,0.27421,-0.056644,14.946,28.311,0
111,1,1.6263e+09,0,0,0.093164,0.26405,18.501,29.833,0
112,1,1.6263e+09,0,0,0.14391,-0.24019,17.004,12.17,0
113,1,1.6263e+09,0,0,0.27881,-0.025745,16.716,46.641,0
114,1,1.6263e+09,0,0,0.14507,-0.23949,14.175,44.704,0
115,1,1.6263e+09,0,0,-0.097127,-0.26261,16.356,29.838,0
116,1,1.6263e+09,0,0,0.27294,0.062464,18.145,43.493,0
117,1,1.6263e+09,0,0,-0.15082,0.23591,16.292,45.075,0
118,1,1.6263e+09,0,0,0.27643,0.044601,15.967,27.504,0
119,1,1.6263e+09,0,0,0.057161,-0.2741,3.4572,4.1581,0
120,1,1.6263e+09,0,0,-0.084482,0.26695,18.525,44.606,0
121,1,1.6263e+09,0,0,0.24935,-0.12737,1.2606,57.503,0
122,1,1.6263e+09,0,0,0.2668,0.084949,14.114,45.813,0
123,1,1.6263e+09,0,0,0.27719,0.039581,16.921,27.144,0
124,1,1.6263e+09,0,0,0.25407,-0.11767,10.759,46.415,0
125,1,1.6263e+09,0,0,0.10507,0.25954,3.429,0.85715,0
126,1,1.6263e+09,0,0,-0.20279,-0.19307,1.0858,59.832,0
127,1,1.6263e+09,0,0,0.27194,-0.066683,8.365,30.349,0
128,1,1.6263e+09,0,0,0.059632,0.27358,9.1342,43.867,0
129,1,1.6263e+09,0,0,0.25661,-0.11203,16.978,14.399,0
130,1,1.6263e+09,0,0,0.27846,0.029344,15.656,44.081,0
131,1,1.6263e+09,0,0,0.2705,-0.072319,17.483,44.405,0
132,1,1.6263e+09,0,0,-0.07943,-0.2685,12.8,14.53,0
133,1,1.6263e+09,0,0,0.24117,0.14225,15.145,29.572,0
134,1,1.6263e+09,0,0,0.18763,0.20783,12.396,27.797,0
135,1,1.6263e+09,0,0,-0.27831,-0.030697,3.397,47.182,0
136,1,1.6263e+09,0,0,0.15458,-0.23346,16.424,13.173,0
137,1,1.6263e+09,0,0,-0.24231,0.14031,13.338,28.287,0
138,1,1.6263e+09,0,0,0.2574,-0.1102,5.7525,29.748,0
139,1,1.6263e+09,0,0,0.27877,0.026174,15.211,12.626,0
140,1,1.6263e+09,0,0,0.018752,-0.27937,4.4919,58.557,0
141,1,1.6263e+09,0,0,0.26037,-0.10298,10.715,44.77,0
142,1,1.6263e+09,0,0,0.079727,-0.26841,2.7705,67.771,0
143,1,1.6263e+09,0,0,-0.079717,-0.26841,1.9614,0.67866,0
144,1,1.6263e+09,0,0,-0.2355,-0.15145,14.381,30.283,0
145,1,1.6263e+09,0,0,0.2469,-0.13205,6.6076,46.122,0
146,1,1.6263e+09,0,0,0.21685,0.17714,2.2026,42.938,0
147,1,1.6263e+09,0,0,-0.14419,-0.24002,15.873,10.61,0
148,1,1.6263e+09,0,0,0.1137,0.25587,14.464,11.85,0
149,1,1.6263e+09,0,0,-0.032473,-0.27811,13.226,43.911,0
150,1,1.6263e+09,0,0,0.26077,0.10198,3.0909,66.723,0
151,1,1.6263e+09,0,0,0.26846,0.079573,13.305,30.244,0
152,1,1.6263e+09,0,0,0.23444,0.15309,3.8534,57.629,0
153,1,1.6263e+09,0,0,0.08956,0.26529,12.685,31.427,0
154,1,1.6263e+09,0,0,0.27755,-0.036992,15.802,46.188,0
155,1,1.6263e+09,0,0,0.18058,0.21399,13.944,14.463,0
156,1,1.6263e+09,0,0,0.26639,-0.086222,13.885,12.771,0
157,1,1.6263e+09,0,0,0.26055,-0.10254,11.393,28.431,0
158,1,1.6263e+09,0,0,0.27877,-0.026212,12.257,43.354,0
